Srbija;Evropa;7186862;107131000000.289372
Crna Gora;Evropa;620029;13081000000.9482
Rusija;Evropa;146745098;4519000000.8372
Bosna i Hercegovina;Evropa;9472049;19382748291.1937
Hrvatska;Evropa;3958395;100000000000.018374
Mađarska;Evropa;5938593;459275298572.927461
Rumunija;Evropa;9857295;582947294795.9274
Bugarska;Evropa;8650249;294729479287.9183
Severna Makedonija;Evropa;1958375;19472947291.23
Albanija;Evropa;2957385;1937285729.19
Grčka;Evropa;4923859;1048392819.028
Italija;Evropa;60839528;1048294829482.002
Španija;Evropa;65924835;6028492019582.0183
Francuska;Evropa;78393859;1058295829194.0183
Italija;Evropa;63838395;1058294295039.032
Nemačka;Evropa;67295024;195830586739286.0182
Poljska;Evropa;59368274;392859201854.473
Belgija;Evropa;2048285;158302859212.8483
Holandija;Evropa;3028513;502859301942.9383
Danska;Evropa;3018492;104829482041.937
Luksemburg;Evropa;9284019;104829184721.9283
Belorusija;Evropa;9384013;402849038491.918
Ukrajina;Evropa;29420582;492058295839.11
Velika Britanija;Evropa;70275928;9285729471958.938
Sirija;Azija;3928424;1940284929.022
Turska;Azija;703859284;104928301939.011
Austrija;Evropa;4927582;104938201940.021
Izrael;Azija;14829402;10392849181.042
Iran;Azija;19479234;10482918491.0343
Indija;Azija;19472859322;1048203719482.0183
Kina;Azija;3920582425;10482947283917.0283
Japan;Azija;2945830673;3028471948291.9382
Kazahstan;Azija;29572068;294829482019.9382
Azerbejdžan;Azija;29483062;204829481039.832
Vijetnam;Azija;4395285921;204810498249.543
Sjedinjene Američke Države;Severna Amerika;937592813;902948294819489.942
Alžir;Afrika;9275824;2957204919.948
Libija;Afrika;5938592;29471859291.1111
